# /home/rfk/pycon/html/test_post_then_get-20120817T010909 vs /home/rfk/pycon/html/test_post_then_get-20120817T013741
# Page stat for: /home/rfk/pycon/html/test_post_then_get-20120817T010909
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 170.200 174.000 851 851 0.00 0.001 0.003 0.027 0.001 0.002 0.005 0.008
15 1.000 Excellent 259.000 266.000 1295 1295 0.00 0.001 0.003 0.034 0.001 0.002 0.005 0.007
20 1.000 Excellent 331.200 337.000 1656 1656 0.00 0.001 0.003 0.224 0.001 0.002 0.006 0.008
30 0.999 Excellent 275.800 360.000 1379 1379 0.00 0.001 0.048 3.007 0.001 0.003 0.014 0.049


# Page stat for: /home/rfk/pycon/html/test_post_then_get-20120817T013741
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 166.200 169.000 831 831 0.00 0.001 0.003 0.034 0.001 0.002 0.006 0.008
15 1.000 Excellent 249.600 264.000 1248 1248 0.00 0.001 0.003 0.032 0.001 0.002 0.005 0.006
20 1.000 Excellent 223.000 319.000 1115 1115 0.00 0.001 0.021 1.009 0.001 0.002 0.006 0.013
30 0.999 Excellent 202.000 323.000 1010 1010 0.00 0.001 0.058 1.638 0.002 0.005 0.031 0.447


# Request stat for: /home/rfk/pycon/html/test_post_then_get-20120817T010909
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 170.200 174.000 851 851 0.00 0.001 0.003 0.027 0.001 0.002 0.005 0.008
15 1.000 Excellent 259.000 266.000 1295 1295 0.00 0.001 0.003 0.034 0.001 0.002 0.005 0.007
20 1.000 Excellent 331.200 337.000 1656 1656 0.00 0.001 0.003 0.224 0.001 0.002 0.006 0.008
30 0.999 Excellent 275.800 360.000 1379 1379 0.00 0.001 0.048 3.007 0.001 0.003 0.014 0.049


# Request stat for: /home/rfk/pycon/html/test_post_then_get-20120817T013741
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 166.200 169.000 831 831 0.00 0.001 0.003 0.034 0.001 0.002 0.006 0.008
15 1.000 Excellent 249.600 264.000 1248 1248 0.00 0.001 0.003 0.032 0.001 0.002 0.005 0.006
20 1.000 Excellent 223.000 319.000 1115 1115 0.00 0.001 0.021 1.009 0.001 0.002 0.006 0.013
30 0.999 Excellent 202.000 323.000 1010 1010 0.00 0.001 0.058 1.638 0.002 0.005 0.031 0.447


# Page stat for: /home/rfk/pycon/html/test_post_then_get-20120817T010909 and /home/rfk/pycon/html/test_post_then_get-20120817T013741
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 170.200 174.000 851 851 0.00 0.001 0.003 0.027 0.001 0.002 0.005 0.008 10 1.000 Excellent 166.200 169.000 831 831 0.00 0.001 0.003 0.034 0.001 0.002 0.006 0.008
15 1.000 Excellent 259.000 266.000 1295 1295 0.00 0.001 0.003 0.034 0.001 0.002 0.005 0.007 15 1.000 Excellent 249.600 264.000 1248 1248 0.00 0.001 0.003 0.032 0.001 0.002 0.005 0.006
20 1.000 Excellent 331.200 337.000 1656 1656 0.00 0.001 0.003 0.224 0.001 0.002 0.006 0.008 20 1.000 Excellent 223.000 319.000 1115 1115 0.00 0.001 0.021 1.009 0.001 0.002 0.006 0.013
30 0.999 Excellent 275.800 360.000 1379 1379 0.00 0.001 0.048 3.007 0.001 0.003 0.014 0.049 30 0.999 Excellent 202.000 323.000 1010 1010 0.00 0.001 0.058 1.638 0.002 0.005 0.031 0.447


# Request stat for: /home/rfk/pycon/html/test_post_then_get-20120817T010909 and /home/rfk/pycon/html/test_post_then_get-20120817T013741
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating*-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 170.200 174.000 851 851 0.00 0.001 0.003 0.027 0.001 0.002 0.005 0.008 10 1.000 Excellent 166.200 169.000 831 831 0.00 0.001 0.003 0.034 0.001 0.002 0.006 0.008
15 1.000 Excellent 259.000 266.000 1295 1295 0.00 0.001 0.003 0.034 0.001 0.002 0.005 0.007 15 1.000 Excellent 249.600 264.000 1248 1248 0.00 0.001 0.003 0.032 0.001 0.002 0.005 0.006
20 1.000 Excellent 331.200 337.000 1656 1656 0.00 0.001 0.003 0.224 0.001 0.002 0.006 0.008 20 1.000 Excellent 223.000 319.000 1115 1115 0.00 0.001 0.021 1.009 0.001 0.002 0.006 0.013
30 0.999 Excellent 275.800 360.000 1379 1379 0.00 0.001 0.048 3.007 0.001 0.003 0.014 0.049 30 0.999 Excellent 202.000 323.000 1010 1010 0.00 0.001 0.058 1.638 0.002 0.005 0.031 0.447
