# /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T174813 vs /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T175017
# Page stat for: /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T174813
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 179.800 181.000 899 899 0.00 0.001 0.002 0.021 0.001 0.001 0.004 0.005
15 1.000 Excellent 247.800 252.000 1239 1239 0.00 0.001 0.004 0.032 0.001 0.002 0.010 0.014
20 1.000 Excellent 327.800 334.000 1639 1639 0.00 0.001 0.005 0.035 0.001 0.002 0.012 0.017
30 1.000 Excellent 420.600 425.000 2103 2103 0.00 0.001 0.015 0.219 0.002 0.013 0.029 0.034


# Page stat for: /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T175017
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 172.600 176.000 863 863 0.00 0.001 0.002 0.014 0.001 0.001 0.003 0.004
15 1.000 Excellent 251.000 259.000 1255 1255 0.00 0.001 0.003 0.028 0.001 0.002 0.007 0.010
20 1.000 Excellent 319.200 320.000 1596 1596 0.00 0.001 0.007 0.037 0.001 0.004 0.017 0.021
30 1.000 Excellent 419.800 430.000 2099 2099 0.00 0.001 0.014 0.058 0.001 0.012 0.031 0.035


# Request stat for: /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T174813
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 179.800 181.000 899 899 0.00 0.001 0.002 0.021 0.001 0.001 0.004 0.005
15 1.000 Excellent 247.800 252.000 1239 1239 0.00 0.001 0.004 0.032 0.001 0.002 0.010 0.014
20 1.000 Excellent 327.800 334.000 1639 1639 0.00 0.001 0.005 0.035 0.001 0.002 0.012 0.017
30 1.000 Excellent 420.600 425.000 2103 2103 0.00 0.001 0.015 0.219 0.002 0.013 0.029 0.034


# Request stat for: /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T175017
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
10 1.000 Excellent 172.600 176.000 863 863 0.00 0.001 0.002 0.014 0.001 0.001 0.003 0.004
15 1.000 Excellent 251.000 259.000 1255 1255 0.00 0.001 0.003 0.028 0.001 0.002 0.007 0.010
20 1.000 Excellent 319.200 320.000 1596 1596 0.00 0.001 0.007 0.037 0.001 0.004 0.017 0.021
30 1.000 Excellent 419.800 430.000 2099 2099 0.00 0.001 0.014 0.058 0.001 0.012 0.031 0.035


# Page stat for: /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T174813 and /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T175017
# CUs Apdex* Rating SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 179.800 181.000 899 899 0.00 0.001 0.002 0.021 0.001 0.001 0.004 0.005 10 1.000 Excellent 172.600 176.000 863 863 0.00 0.001 0.002 0.014 0.001 0.001 0.003 0.004
15 1.000 Excellent 247.800 252.000 1239 1239 0.00 0.001 0.004 0.032 0.001 0.002 0.010 0.014 15 1.000 Excellent 251.000 259.000 1255 1255 0.00 0.001 0.003 0.028 0.001 0.002 0.007 0.010
20 1.000 Excellent 327.800 334.000 1639 1639 0.00 0.001 0.005 0.035 0.001 0.002 0.012 0.017 20 1.000 Excellent 319.200 320.000 1596 1596 0.00 0.001 0.007 0.037 0.001 0.004 0.017 0.021
30 1.000 Excellent 420.600 425.000 2103 2103 0.00 0.001 0.015 0.219 0.002 0.013 0.029 0.034 30 1.000 Excellent 419.800 430.000 2099 2099 0.00 0.001 0.014 0.058 0.001 0.012 0.031 0.035


# Request stat for: /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T174813 and /home/rfk/repos/talk-webapitesting/code/html/test_post_then_get-20120817T175017
# CUs Apdex* Rating* RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 Apdex*-2 Rating*-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
10 1.000 Excellent 179.800 181.000 899 899 0.00 0.001 0.002 0.021 0.001 0.001 0.004 0.005 10 1.000 Excellent 172.600 176.000 863 863 0.00 0.001 0.002 0.014 0.001 0.001 0.003 0.004
15 1.000 Excellent 247.800 252.000 1239 1239 0.00 0.001 0.004 0.032 0.001 0.002 0.010 0.014 15 1.000 Excellent 251.000 259.000 1255 1255 0.00 0.001 0.003 0.028 0.001 0.002 0.007 0.010
20 1.000 Excellent 327.800 334.000 1639 1639 0.00 0.001 0.005 0.035 0.001 0.002 0.012 0.017 20 1.000 Excellent 319.200 320.000 1596 1596 0.00 0.001 0.007 0.037 0.001 0.004 0.017 0.021
30 1.000 Excellent 420.600 425.000 2103 2103 0.00 0.001 0.015 0.219 0.002 0.013 0.029 0.034 30 1.000 Excellent 419.800 430.000 2099 2099 0.00 0.001 0.014 0.058 0.001 0.012 0.031 0.035
